,Avg. Difference in Variances,Avg. Difference in Averages,Avg. Difference Consecutive Difference Avg.,Avg. Difference in Ranges
danceability,0.014732433863022561,0.07819193458226253,0.07488995339415536,0.1084465
energy,0.020828678331698484,0.10415234379396349,0.08342306878029444,0.13277915
loudness,0.29231099967011326,0.360117402271884,0.24478069215972245,0.9137607093996796
speechiness,0.01056087951154425,0.05071215676542184,0.08237435548694247,0.1693035
acousticness,0.04199245931845946,0.1525272999975504,0.13184473763414362,0.17040376529999995
instrumentalness,0.018642361175243684,0.05178468950553285,0.0576235051726998,0.32768222755000004
liveness,0.014521176623580363,0.047199679159678196,0.0679936421770808,0.33391149999999997
valence,0.01940275446681711,0.10501665782470145,0.07781289714357087,0.153632
tempo,0.3281404618131076,0.29303348752592706,0.33463008724457316,1.080188484767688
duration_ms,0.20965942769711404,0.22168291087471156,0.17064772421706564,1.2491459671690148
